,0
465,558201.1425041127
466,562118.2325205464
467,565248.8031458665
468,567606.0153805619
469,569224.3629421795
470,570145.1508263631
471,570214.4810967969
472,569371.8560359343
473,567611.8229870001
474,564783.5053258311
475,560855.3549325134
476,555852.6574276943
477,550045.7354487213
478,543792.5981312762
479,537445.0611634156
480,531364.1477243796
481,525976.0602910717
482,521501.35283344315
483,517986.83282406605
484,515428.2348098178
485,513697.9458309614
486,512756.8455585735
487,512369.6677074413
488,512561.91792460316
489,513538.9694190217
490,515493.27350562025
491,518761.5345416805
492,523599.0166067944
493,530245.0782044787
494,538626.3003288638
495,548480.4710332685
496,559311.747897974
497,570545.2233143077
498,581822.8493807544
499,592706.4910122716
500,602956.946055824
501,612251.4023297256
502,620564.5318131986
503,627815.0340732698
504,633848.5411378911
505,638654.7727925791
506,642199.1256851642
507,644601.4056242224
508,645851.4923043335
509,646031.2494744896
510,645102.977361567
511,642998.4626357105
512,639716.3218412356
513,635351.9019686151
514,630004.5247176929
515,623767.1990146056
516,616810.5369270897
517,609315.7505554914
518,601452.431941552
519,593358.7207102504
520,585154.1058806168
521,576987.3858647076
522,569010.8134737774
523,561377.4677159085
524,554221.3723748467
525,547658.2016693146
526,541809.9353231479
527,536767.334449854
528,532576.4577054154
529,529238.3123957886
530,526725.7239745151
531,524998.8793248263
532,523981.15020526526
533,523571.23604132904
534,523676.88868636364
535,524224.3173762132
536,525139.3034082621
537,526347.8070690166
538,527773.2316142595
539,529340.4621843327
540,530962.1520876613
541,532552.8462842047
542,534045.8566373718
543,535400.2973070937
544,536597.450452929
545,537640.6947595577
546,538547.4403262552
547,539329.1769826551
548,539985.6824309307
549,540476.2180200374
550,540743.511470923
551,540720.5227259136
552,540359.5116609965
553,539628.4043946409
554,538503.9674725133
555,537020.0828388495
556,535185.0984736175
557,533002.1259406754
558,530462.4629161083
559,527540.4582295732
560,524182.8149171046
561,520300.8490172997
562,515868.0725629553
563,510898.58299172734
564,505469.15649124194
565,499681.1216503742
566,493700.08717003907
567,487723.2625683697
568,481921.6772515289
569,476421.23416685057
570,471291.01539257617
571,466589.9221299123
572,462342.7143893174
573,458550.0948015244
574,455196.70361642307
575,452251.63537893404
576,449672.64805053064
577,447410.9457439521
578,445415.03955793846
579,443663.5985925803
580,442150.3227942106
581,440887.17990250414
582,439882.6511549819
583,439138.21147046704
584,438646.3311915092
585,438370.5449944961
586,438259.94607138727
587,438246.2278120409
588,438276.0338923091
589,438330.73611774045
590,438416.4049755819
591,438557.04741968954
592,438799.61008592066
593,439226.39283889515
594,439923.8725617973
595,440950.22283930954
596,442354.3825077037
597,444198.7427532087
598,446572.35293549445
599,449548.84875538293
600,453180.9856666022
601,457473.1036253611
602,462430.098029577
603,468075.788666816
604,474406.1958305491
605,481489.4501703766
606,489302.14605714957
607,497872.8199900873
608,507198.99943586905
609,517111.76288053114
610,527405.498311519
611,537542.0405589103
612,547138.4118073516
613,556008.4833585131
614,564238.1269851463
615,571896.0817787236
616,578959.0288789341
617,585850.0210387058
618,592312.2346107913
619,597982.8692447693
620,602572.0267687831
621,606097.1360593091
622,608600.5366751739
623,609872.9500525433
624,610396.5722805822
625,610626.8389089853
626,610680.255804748
627,610471.794957715
628,610183.1300239384
629,610203.2458572523
630,610824.7990608562
631,612213.9496887902
632,614454.0527632055
633,617563.2167740978
634,620924.2581541633
635,623904.8116665352
636,626027.6311344194
637,626837.3536940594
638,626118.7381118481
639,623828.3545398903
640,620687.4655399692
641,617391.3520853653
642,614646.6535385888
643,613219.443342138
644,613693.5821950868
645,616442.4080917037
646,621294.68023089
647,627571.1448886718
648,634294.3445893818
649,640471.1095804428
650,645294.2794815261
651,648249.6703336294
652,649116.8620300702
653,648025.4439066659
654,645285.4481400714
655,641248.03503347
656,636168.6520470179
657,630181.2811700461
658,623390.3624038593
659,615980.7591057509
660,608142.7594268465
661,600044.8118167977
662,591826.6671055403
663,583620.0994470417
664,575586.1754282437
665,567869.8356550483
666,560590.0645849331
667,553815.9277903751
668,547564.4810267024
669,541804.9666335763
670,536441.375572773
671,531391.2959221853
672,526587.8493503513
673,521983.784243332
674,517567.49553399713
675,513333.99196984805
676,509277.5568018691
677,505375.30667966086
678,501611.1416679784
679,497969.45427880605
680,494421.52114949236
681,490949.9791237633
682,487555.5653581724
683,484246.2837859147
684,480986.42017140304
685,477766.8799895156
686,474601.0681929208
687,471519.43519244046
688,468563.0600515949
689,465761.3714894916
690,463162.985495695
691,460791.89327544137
692,458660.50898120785
693,456758.54028418777
694,455060.1231048117
695,453543.1051920724
696,452194.6471807558
697,451007.464728452
698,449966.3846456243
699,449055.3893744243
700,448259.49107445683
701,447558.55634663976
702,446908.65562725463
703,446264.0210040705
704,445614.3589368482
705,444971.9951435072
706,444349.2553419669
707,443754.6595355817
708,443205.2707482734
709,442710.9597304089
710,442251.31263632904
711,441790.29965233273
712,441292.7292758697
713,440736.40806723404
714,440117.18687080435
715,439438.38501107786
716,438700.2060086808
717,437909.1007406017
718,437076.672305394
719,436210.8652760705
720,435300.7234589245
721,434345.513937416
722,433354.9427071191
723,432329.9583195234
724,431272.108985106
725,430187.6578088494
726,429099.62321585446
727,428036.5283795854
728,427032.1867983532
729,426124.7949325246
730,425350.49586472026
731,424743.0049672353
732,424333.32763831335
733,424185.9350934394
